id,vl_fatu,vl_sldo,dt_refe,ds_cnae,dt_abrt
5,679001.117678535,181443.60042247397,2023-03-01,66.55-5,2015-10-28
5,877190.5214360161,181443.60042247397,2023-04-01,66.55-5,2015-10-28
5,1097258.861902588,181443.60042247397,2023-05-01,66.55-5,2015-10-28
5,1288581.8825476854,181443.60042247397,2023-06-01,66.55-5,2015-10-28
5,1406508.327257874,181443.60042247397,2023-07-01,66.55-5,2015-10-28
5,1456498.212095162,181443.60042247397,2023-08-01,66.55-5,2015-10-28
5,1507090.1243040413,181443.60042247397,2023-09-01,66.55-5,2015-10-28
5,1664286.3131064381,181443.60042247397,2023-10-01,66.55-5,2015-10-28
5,2065858.9572738847,181443.60042247397,2023-11-01,66.55-5,2015-10-28
5,2942165.5088179954,181443.60042247397,2023-12-01,66.55-5,2015-10-28
6,120142.41260548183,73905.92332727696,2023-01-01,55.91-8,2021-01-12
6,134202.37092452127,73905.92332727696,2023-02-01,55.91-8,2021-01-12
6,150187.78101616353,73905.92332727696,2023-03-01,55.91-8,2021-01-12
6,162340.91782760958,73905.92332727696,2023-04-01,55.91-8,2021-01-12
6,163910.2670986392,73905.92332727696,2023-05-01,55.91-8,2021-01-12
6,150983.69498930758,73905.92332727696,2023-06-01,55.91-8,2021-01-12
6,126105.01436670596,73905.92332727696,2023-07-01,55.91-8,2021-01-12
6,97170.65741531146,73905.92332727696,2023-08-01,55.91-8,2021-01-12
6,71868.65642560406,73905.92332727696,2023-09-01,55.91-8,2021-01-12
6,53588.532906527296,73905.92332727696,2023-10-01,55.91-8,2021-01-12
6,41911.507989612335,73905.92332727696,2023-11-01,55.91-8,2021-01-12
6,34982.097718998666,73905.92332727696,2023-12-01,55.91-8,2021-01-12
7,347319.79286302114,19924.398964417902,2023-01-01,23.54-2,2016-11-09
7,375664.33802432555,19924.398964417902,2023-02-01,23.54-2,2016-11-09
7,397240.3017276199,19924.398964417902,2023-03-01,23.54-2,2016-11-09
7,396865.6919233283,19924.398964417902,2023-04-01,23.54-2,2016-11-09
7,363113.2335201609,19924.398964417902,2023-05-01,23.54-2,2016-11-09
7,297743.0421739513,19924.398964417902,2023-06-01,23.54-2,2016-11-09
7,217650.37069095773,19924.398964417902,2023-07-01,23.54-2,2016-11-09
7,144172.88640756556,19924.398964417902,2023-08-01,23.54-2,2016-11-09
7,89748.11637219129,19924.398964417902,2023-09-01,23.54-2,2016-11-09
7,54912.26306337924,19924.398964417902,2023-10-01,23.54-2,2016-11-09
7,34247.3338777477,19924.398964417902,2023-11-01,23.54-2,2016-11-09
7,22130.22175233312,19924.398964417902,2023-12-01,23.54-2,2016-11-09
8,366701.6684808997,60775.572035616664,2023-01-01,64.75-4,2016-01-14
8,427796.144220143,60775.572035616664,2023-02-01,64.75-4,2016-01-14
8,517805.6405390597,60775.572035616664,2023-03-01,64.75-4,2016-01-14
8,625297.0091231558,60775.572035616664,2023-04-01,64.75-4,2016-01-14
8,726727.6278240951,60775.572035616664,2023-05-01,64.75-4,2016-01-14
8,792247.09843118,60775.572035616664,2023-06-01,64.75-4,2016-01-14
8,804320.7680346643,60775.572035616664,2023-07-01,64.75-4,2016-01-14
8,774546.2610298594,60775.572035616664,2023-08-01,64.75-4,2016-01-14
8,738689.9201187959,60775.572035616664,2023-09-01,64.75-4,2016-01-14
8,736335.6823115684,60775.572035616664,2023-10-01,64.75-4,2016-01-14
8,801005.800309069,60775.572035616664,2023-11-01,64.75-4,2016-01-14
8,968526.3278555636,60775.572035616664,2023-12-01,64.75-4,2016-01-14
9,554972.4578723857,137206.9393099649,2023-01-01,43.38-9,2018-12-10
9,638758.2547531524,137206.9393099649,2023-02-01,43.38-9,2018-12-10
9,726864.485670494,137206.9393099649,2023-03-01,43.38-9,2018-12-10
9,778252.0699243178,137206.9393099649,2023-04-01,43.38-9,2018-12-10
9,748655.5472554208,137206.9393099649,2023-05-01,43.38-9,2018-12-10
9,624865.2818837743,137206.9393099649,2023-06-01,43.38-9,2018-12-10
9,446876.9657813711,137206.9393099649,2023-07-01,43.38-9,2018-12-10
9,279888.1679608602,137206.9393099649,2023-08-01,43.38-9,2018-12-10
9,162806.90543918495,137206.9393099649,2023-09-01,43.38-9,2018-12-10
9,94857.38124494851,137206.9393099649,2023-10-01,43.38-9,2018-12-10
9,58705.1475234711,137206.9393099649,2023-11-01,43.38-9,2018-12-10
9,39444.43600819396,137206.9393099649,2023-12-01,43.38-9,2018-12-10
10,333815.6470557888,35174.625225706855,2023-01-01,87.75-7,2019-07-05
10,375714.99060994986,35174.625225706855,2023-02-01,87.75-7,2019-07-05
10,422136.8433481848,35174.625225706855,2023-03-01,87.75-7,2019-07-05
10,454896.11056291393,35174.625225706855,2023-04-01,87.75-7,2019-07-05
10,453167.30656154896,35174.625225706855,2023-05-01,87.75-7,2019-07-05
10,406468.0365702896,35174.625225706855,2023-06-01,87.75-7,2019-07-05
10,325787.6210187235,35174.625225706855,2023-07-01,87.75-7,2019-07-05
10,237734.688594878,35174.625225706855,2023-08-01,87.75-7,2019-07-05
10,165103.97812069347,35174.625225706855,2023-09-01,87.75-7,2019-07-05
10,115351.34066891765,35174.625225706855,2023-10-01,87.75-7,2019-07-05
10,84751.05020569677,35174.625225706855,2023-11-01,87.75-7,2019-07-05
10,66716.66252886473,35174.625225706855,2023-12-01,87.75-7,2019-07-05
11,94888.73923119807,27936.453123953885,2023-01-01,63.12-8,2021-08-16
11,107582.2922106662,27936.453123953885,2023-02-01,63.12-8,2021-08-16
11,122203.89341648255,27936.453123953885,2023-03-01,63.12-8,2021-08-16
11,133470.2515866747,27936.453123953885,2023-04-01,63.12-8,2021-08-16
11,134955.08777086632,27936.453123953885,2023-05-01,63.12-8,2021-08-16
11,122920.00241929665,27936.453123953885,2023-06-01,63.12-8,2021-08-16
11,100042.7171551166,27936.453123953885,2023-07-01,63.12-8,2021-08-16
11,74160.0876780337,27936.453123953885,2023-08-01,63.12-8,2021-08-16
11,52423.331998001,27936.453123953885,2023-09-01,63.12-8,2021-08-16
11,37435.41881410009,27936.453123953885,2023-10-01,63.12-8,2021-08-16
11,28274.325490898293,27936.453123953885,2023-11-01,63.12-8,2021-08-16
11,23022.130382844294,27936.453123953885,2023-12-01,63.12-8,2021-08-16
12,512101.872923597,73593.02573996763,2023-01-01,35.68-1,2021-05-01
12,592767.3876041025,73593.02573996763,2023-02-01,35.68-1,2021-05-01
12,729251.4483217971,73593.02573996763,2023-03-01,35.68-1,2021-05-01
12,926078.3711362487,73593.02573996763,2023-04-01,35.68-1,2021-05-01
12,1182279.067458387,73593.02573996763,2023-05-01,35.68-1,2021-05-01
12,1490480.3616488453,73593.02573996763,2023-06-01,35.68-1,2021-05-01
12,1848690.0038726856,73593.02573996763,2023-07-01,35.68-1,2021-05-01
12,2288131.8953560195,73593.02573996763,2023-08-01,35.68-1,2021-05-01
12,2912427.3568334864,73593.02573996763,2023-09-01,35.68-1,2021-05-01
12,3954709.316235736,73593.02573996763,2023-10-01,35.68-1,2021-05-01
12,5903878.455408819,73593.02573996763,2023-11-01,35.68-1,2021-05-01
12,9828136.400449337,73593.02573996763,2023-12-01,35.68-1,2021-05-01
13,154292.89908490182,159218.6167940414,2023-01-01,72.64-7,2018-10-14
13,186310.65528296883,159218.6167940414,2023-02-01,72.64-7,2018-10-14
13,235419.88416476396,159218.6167940414,2023-03-01,72.64-7,2018-10-14
13,297014.83396230184,159218.6167940414,2023-04-01,72.64-7,2018-10-14
13,358182.8064035391,159218.6167940414,2023-05-01,72.64-7,2018-10-14
13,399680.394842443,159218.6167940414,2023-06-01,72.64-7,2018-10-14
13,408146.808196923,159218.6167940414,2023-07-01,72.64-7,2018-10-14
13,389563.46927596175,159218.6167940414,2023-08-01,72.64-7,2018-10-14
13,367045.48224257596,159218.6167940414,2023-09-01,72.64-7,2018-10-14
13,366036.96651811415,159218.6167940414,2023-10-01,72.64-7,2018-10-14
13,408051.51539537,159218.6167940414,2023-11-01,72.64-7,2018-10-14
13,519341.27392910037,159218.6167940414,2023-12-01,72.64-7,2018-10-14
14,206842.91708361855,52592.88164778503,2023-01-01,20.95-7,2022-04-03
14,233929.21117193025,52592.88164778503,2023-02-01,20.95-7,2022-04-03
14,264758.9719513022,52592.88164778503,2023-03-01,20.95-7,2022-04-03
14,287908.00651853724,52592.88164778503,2023-04-01,20.95-7,2022-04-03
14,289745.8210771442,52592.88164778503,2023-05-01,20.95-7,2022-04-03
14,262672.9284895366,52592.88164778503,2023-06-01,20.95-7,2022-04-03
14,212828.6300426826,52592.88164778503,2023-07-01,20.95-7,2022-04-03
14,157067.8101963122,52592.88164778503,2023-08-01,20.95-7,2022-04-03
14,110479.16900796512,52592.88164778503,2023-09-01,20.95-7,2022-04-03
14,78396.5213471968,52592.88164778503,2023-10-01,20.95-7,2022-04-03
14,58725.94768808816,52592.88164778503,2023-11-01,20.95-7,2022-04-03
14,47326.668171820376,52592.88164778503,2023-12-01,20.95-7,2022-04-03
15,60209.02249017621,66057.16678810315,2023-01-01,76.85-2,2019-05-04
15,74018.50832244604,66057.16678810315,2023-02-01,76.85-2,2019-05-04
15,92127.69449512243,66057.16678810315,2023-03-01,76.85-2,2019-05-04
15,109187.35066855195,66057.16678810315,2023-04-01,76.85-2,2019-05-04
15,116248.02531757967,66057.16678810315,2023-05-01,76.85-2,2019-05-04
15,106082.56620912183,66057.16678810315,2023-06-01,76.85-2,2019-05-04
15,81217.73969031994,66057.16678810315,2023-07-01,76.85-2,2019-05-04
15,53441.20510760587,66057.16678810315,2023-08-01,76.85-2,2019-05-04
15,32726.463644962045,66057.16678810315,2023-09-01,76.85-2,2019-05-04
15,20760.021365578854,66057.16678810315,2023-10-01,76.85-2,2019-05-04
15,14772.072281773435,66057.16678810315,2023-11-01,76.85-2,2019-05-04
15,12078.415796809968,66057.16678810315,2023-12-01,76.85-2,2019-05-04
16,76162.66703850351,164773.7925826383,2023-01-01,96.61-1,2020-09-15
16,83908.54435353911,164773.7925826383,2023-02-01,96.61-1,2020-09-15
16,94603.09084007509,164773.7925826383,2023-03-01,96.61-1,2020-09-15
16,106408.8029188413,164773.7925826383,2023-04-01,96.61-1,2020-09-15
16,116700.74510262841,164773.7925826383,2023-05-01,96.61-1,2020-09-15
16,122911.94743111012,164773.7925826383,2023-06-01,96.61-1,2020-09-15
16,123981.2526502807,164773.7925826383,2023-07-01,96.61-1,2020-09-15
16,121273.57191767509,164773.7925826383,2023-08-01,96.61-1,2020-09-15
16,118020.30027077475,164773.7925826383,2023-09-01,96.61-1,2020-09-15
16,117862.338276428,164773.7925826383,2023-10-01,96.61-1,2020-09-15
16,123923.40837827181,164773.7925826383,2023-11-01,96.61-1,2020-09-15
16,138898.76540314197,164773.7925826383,2023-12-01,96.61-1,2020-09-15
17,275719.40070937143,196131.65928904875,2023-01-01,99.15-4,2022-05-21
17,338236.6085793245,196131.65928904875,2023-02-01,99.15-4,2022-05-21
17,441851.7083295226,196131.65928904875,2023-03-01,99.15-4,2022-05-21
17,586765.5725776685,196131.65928904875,2023-04-01,99.15-4,2022-05-21
17,758681.4300082653,196131.65928904875,2023-05-01,99.15-4,2022-05-21
17,925010.0603527095,196131.65928904875,2023-06-01,99.15-4,2022-05-21
17,1052105.1158474046,196131.65928904875,2023-07-01,99.15-4,2022-05-21
17,1139967.2708781247,196131.65928904875,2023-08-01,99.15-4,2022-05-21
17,1241754.8266238142,196131.65928904875,2023-09-01,99.15-4,2022-05-21
17,1456477.9290269928,196131.65928904875,2023-10-01,99.15-4,2022-05-21
17,1941271.084455741,196131.65928904875,2023-11-01,99.15-4,2022-05-21
17,3002462.487896881,196131.65928904875,2023-12-01,99.15-4,2022-05-21
18,370361.34631964006,153789.2543003759,2023-01-01,59.56-9,2019-07-14
18,409093.6783034578,153789.2543003759,2023-02-01,59.56-9,2019-07-14
18,457248.41829583724,153789.2543003759,2023-03-01,59.56-9,2019-07-14
18,501887.3545461895,153789.2543003759,2023-04-01,59.56-9,2019-07-14
18,526510.082609546,153789.2543003759,2023-05-01,59.56-9,2019-07-14
18,518261.57501813973,153789.2543003759,2023-06-01,59.56-9,2019-07-14
18,476803.0947348428,153789.2543003759,2023-07-01,59.56-9,2019-07-14
18,415975.0443836213,153789.2543003759,2023-08-01,59.56-9,2019-07-14
18,354981.6327309019,153789.2543003759,2023-09-01,59.56-9,2019-07-14
18,307745.01098658686,153789.2543003759,2023-10-01,59.56-9,2019-07-14
18,279572.8094369122,153789.2543003759,2023-11-01,59.56-9,2019-07-14
18,270027.5219278689,153789.2543003759,2023-12-01,59.56-9,2019-07-14
19,201457.528652422,149098.5159342923,2023-01-01,76.24-6,2020-07-26
19,244638.35184857657,149098.5159342923,2023-02-01,76.24-6,2020-07-26
19,301312.0972114707,149098.5159342923,2023-03-01,76.24-6,2020-07-26
19,355388.5877486931,149098.5159342923,2023-04-01,76.24-6,2020-07-26
19,380209.80453937803,149098.5159342923,2023-05-01,76.24-6,2020-07-26
19,353498.8333187693,149098.5159342923,2023-06-01,76.24-6,2020-07-26
19,280494.13657143177,149098.5159342923,2023-07-01,76.24-6,2020-07-26
19,194492.76829553847,149098.5159342923,2023-08-01,76.24-6,2020-07-26
19,126692.64656310275,149098.5159342923,2023-09-01,76.24-6,2020-07-26
19,85325.12796561753,149098.5159342923,2023-10-01,76.24-6,2020-07-26
19,63871.113721780755,149098.5159342923,2023-11-01,76.24-6,2020-07-26
19,54413.51350353074,149098.5159342923,2023-12-01,76.24-6,2020-07-26
20,438158.668918133,120605.9140093826,2023-01-01,65.46-9,2023-03-16
20,507079.3704375214,120605.9140093826,2023-02-01,65.46-9,2023-03-16
20,588759.9127764882,120605.9140093826,2023-03-01,65.46-9,2023-03-16
20,654453.0941775521,120605.9140093826,2023-04-01,65.46-9,2023-03-16
20,666811.4556591484,120605.9140093826,2023-05-01,65.46-9,2023-03-16
20,602896.0662796017,120605.9140093826,2023-06-01,65.46-9,2023-03-16
20,478449.0104402588,120605.9140093826,2023-07-01,65.46-9,2023-03-16
20,340354.49063820567,120605.9140093826,2023-08-01,65.46-9,2023-03-16
20,229182.97087574884,120605.9140093826,2023-09-01,65.46-9,2023-03-16
20,156593.57114734172,120605.9140093826,2023-10-01,65.46-9,2023-03-16
20,114645.93411136219,120605.9140093826,2023-11-01,65.46-9,2023-03-16
20,91851.30534370182,120605.9140093826,2023-12-01,65.46-9,2023-03-16
21,206782.2545217449,132026.3502341859,2023-01-01,56.32-3,2017-08-03
21,228806.09608285545,132026.3502341859,2023-02-01,56.32-3,2017-08-03
21,258385.98123892513,132026.3502341859,2023-03-01,56.32-3,2017-08-03
21,289639.50749726914,132026.3502341859,2023-04-01,56.32-3,2017-08-03
21,314304.2682542825,132026.3502341859,2023-05-01,56.32-3,2017-08-03
21,324665.8417350737,132026.3502341859,2023-06-01,56.32-3,2017-08-03
21,318189.2004330379,132026.3502341859,2023-07-01,56.32-3,2017-08-03
21,299889.33265395556,132026.3502341859,2023-08-01,56.32-3,2017-08-03
21,279626.5982041105,132026.3502341859,2023-09-01,56.32-3,2017-08-03
21,266986.06207719084,132026.3502341859,2023-10-01,56.32-3,2017-08-03
21,268538.45274698,132026.3502341859,2023-11-01,56.32-3,2017-08-03
21,288400.7504058649,132026.3502341859,2023-12-01,56.32-3,2017-08-03
22,286025.08992166293,141245.73535232336,2023-01-01,69.85-9,2016-12-18
22,354238.4975611023,141245.73535232336,2023-02-01,69.85-9,2016-12-18
22,458059.62712945597,141245.73535232336,2023-03-01,69.85-9,2016-12-18
22,585403.325750291,141245.73535232336,2023-04-01,69.85-9,2016-12-18
22,702244.2306096592,141245.73535232336,2023-05-01,69.85-9,2016-12-18
22,759612.3889043174,141245.73535232336,2023-06-01,69.85-9,2016-12-18
22,729046.8675116777,141245.73535232336,2023-07-01,69.85-9,2016-12-18
22,635399.7756998502,141245.73535232336,2023-08-01,69.85-9,2016-12-18
22,538117.846771745,141245.73535232336,2023-09-01,69.85-9,2016-12-18
22,483961.20388881816,141245.73535232336,2023-10-01,69.85-9,2016-12-18
22,494603.34015910083,141245.73535232336,2023-11-01,69.85-9,2016-12-18
22,587875.7360841058,141245.73535232336,2023-12-01,69.85-9,2016-12-18
23,390766.7599882329,123205.7626618795,2023-01-01,69.23-4,2021-07-04
23,483689.96759340505,123205.7626618795,2023-02-01,69.23-4,2021-07-04
23,619725.9885134791,123205.7626618795,2023-03-01,69.23-4,2021-07-04
23,776256.1870040797,123205.7626618795,2023-04-01,69.23-4,2021-07-04
23,900680.6286711744,123205.7626618795,2023-05-01,69.23-4,2021-07-04
23,927813.2549759039,123205.7626618795,2023-06-01,69.23-4,2021-07-04
23,833519.868170442,123205.7626618795,2023-07-01,69.23-4,2021-07-04
23,668630.8110322873,123205.7626618795,2023-08-01,69.23-4,2021-07-04
23,514555.03146968485,123205.7626618795,2023-09-01,69.23-4,2021-07-04
23,417693.9245318279,123205.7626618795,2023-10-01,69.23-4,2021-07-04
23,384260.14505092776,123205.7626618795,2023-11-01,69.23-4,2021-07-04
23,410187.8509733308,123205.7626618795,2023-12-01,69.23-4,2021-07-04
24,128201.8143163387,47838.44652357153,2023-01-01,20.90-4,2021-03-03
24,140224.6617600401,47838.44652357153,2023-02-01,20.90-4,2021-03-03
24,151736.10781913734,47838.44652357153,2023-03-01,20.90-4,2021-03-03
24,157012.0499621394,47838.44652357153,2023-04-01,20.90-4,2021-03-03
24,150631.29875216406,47838.44652357153,2023-05-01,20.90-4,2021-03-03
24,131129.30408218203,47838.44652357153,2023-06-01,20.90-4,2021-03-03
24,103047.05449394119,47838.44652357153,2023-07-01,20.90-4,2021-03-03
24,74297.17085445963,47838.44652357153,2023-08-01,20.90-4,2021-03-03
24,50956.772497773556,47838.44652357153,2023-09-01,20.90-4,2021-03-03
24,34757.81132542357,47838.44652357153,2023-10-01,20.90-4,2021-03-03
24,24446.454178049178,47838.44652357153,2023-11-01,20.90-4,2021-03-03
24,18019.4634269045,47838.44652357153,2023-12-01,20.90-4,2021-03-03
25,371874.76353674365,52420.5956488726,2023-01-01,79.81-2,2022-10-31
25,438945.21821015497,52420.5956488726,2023-02-01,79.81-2,2022-10-31
25,518294.87690587697,52420.5956488726,2023-03-01,79.81-2,2022-10-31
25,580387.6013427723,52420.5956488726,2023-04-01,79.81-2,2022-10-31
25,586256.1089219663,52420.5956488726,2023-05-01,79.81-2,2022-10-31
25,513932.8380107325,52420.5956488726,2023-06-01,79.81-2,2022-10-31
25,385148.9567983445,52420.5956488726,2023-07-01,79.81-2,2022-10-31
25,252454.27274347772,52420.5956488726,2023-08-01,79.81-2,2022-10-31
25,154473.83285656635,52420.5956488726,2023-09-01,79.81-2,2022-10-31
25,96058.65841400289,52420.5956488726,2023-10-01,79.81-2,2022-10-31
25,64790.90767799829,52420.5956488726,2023-11-01,79.81-2,2022-10-31
25,48497.1073191735,52420.5956488726,2023-12-01,79.81-2,2022-10-31
26,81040.80619424125,156349.6850910525,2023-01-01,31.72-6,2023-04-25
26,97134.33620679697,156349.6850910525,2023-02-01,31.72-6,2023-04-25
26,124561.44862017554,156349.6850910525,2023-03-01,31.72-6,2023-04-25
26,164515.40481656644,156349.6850910525,2023-04-01,31.72-6,2023-04-25
26,216117.52585670864,156349.6850910525,2023-05-01,31.72-6,2023-04-25
26,275470.2654666586,156349.6850910525,2023-06-01,31.72-6,2023-04-25
26,338407.4776581409,156349.6850910525,2023-07-01,31.72-6,2023-04-25
26,407910.03305608407,156349.6850910525,2023-08-01,31.72-6,2023-04-25
26,502944.29174317786,156349.6850910525,2023-09-01,31.72-6,2023-04-25
26,668033.4607740868,156349.6850910525,2023-10-01,31.72-6,2023-04-25
26,996486.069811414,156349.6850910525,2023-11-01,31.72-6,2023-04-25
26,1699486.2729508297,156349.6850910525,2023-12-01,31.72-6,2023-04-25
27,79510.00885455737,154889.1845496252,2023-01-01,36.16-3,2018-05-13
27,94945.08494401562,154889.1845496252,2023-02-01,36.16-3,2018-05-13
27,114601.5091810455,154889.1845496252,2023-03-01,36.16-3,2018-05-13
27,132510.00973302056,154889.1845496252,2023-04-01,36.16-3,2018-05-13
27,139556.59798229407,154889.1845496252,2023-05-01,36.16-3,2018-05-13
27,128756.60966200104,154889.1845496252,2023-06-01,36.16-3,2018-05-13
27,102483.88260742399,154889.1845496252,2023-07-01,36.16-3,2018-05-13
27,72006.2519736659,154889.1845496252,2023-08-01,36.16-3,2018-05-13
27,47692.984228961934,154889.1845496252,2023-09-01,36.16-3,2018-05-13
27,32447.167954967517,154889.1845496252,2023-10-01,36.16-3,2018-05-13
27,24214.64806717499,154889.1845496252,2023-11-01,36.16-3,2018-05-13
27,20282.445161585678,154889.1845496252,2023-12-01,36.16-3,2018-05-13
28,365678.09068735235,50918.23436076272,2023-01-01,91.46-8,2021-06-25
28,397990.6353836106,50918.23436076272,2023-02-01,91.46-8,2021-06-25
28,438551.449707966,50918.23436076272,2023-03-01,91.46-8,2021-06-25
28,477183.1964088136,50918.23436076272,2023-04-01,91.46-8,2021-06-25
28,501312.7597199463,50918.23436076272,2023-05-01,91.46-8,2021-06-25
28,500997.37978790735,50918.23436076272,2023-06-01,91.46-8,2021-06-25
28,475039.69724505726,50918.23436076272,2023-07-01,91.46-8,2021-06-25
28,432617.20117456454,50918.23436076272,2023-08-01,91.46-8,2021-06-25
28,388016.55571669777,50918.23436076272,2023-09-01,91.46-8,2021-06-25
28,353276.553185337,50918.23436076272,2023-10-01,91.46-8,2021-06-25
28,334803.9861794392,50918.23436076272,2023-11-01,91.46-8,2021-06-25
28,334340.77968218614,50918.23436076272,2023-12-01,91.46-8,2021-06-25
29,255215.19975497306,91487.02631359204,2023-01-01,55.70-8,2023-10-31
29,299595.0758760296,91487.02631359204,2023-02-01,55.70-8,2023-10-31
29,361114.955549511,91487.02631359204,2023-03-01,55.70-8,2023-10-31
29,427608.18027575884,91487.02631359204,2023-04-01,55.70-8,2023-10-31
29,477506.4750685783,91487.02631359204,2023-05-01,55.70-8,2023-10-31
29,487989.2462119784,91487.02631359204,2023-06-01,55.70-8,2023-10-31
29,452058.0138840705,91487.02631359204,2023-07-01,55.70-8,2023-10-31
29,387347.4031881344,91487.02631359204,2023-08-01,55.70-8,2023-10-31
29,322871.6325643982,91487.02631359204,2023-09-01,55.70-8,2023-10-31
29,279067.1778136354,91487.02631359204,2023-10-01,55.70-8,2023-10-31
29,263049.49396472104,91487.02631359204,2023-11-01,55.70-8,2023-10-31
29,275921.56269784336,91487.02631359204,2023-12-01,55.70-8,2023-10-31
30,98633.4946475809,86969.79471338644,2023-01-01,99.77-3,2018-09-18
30,122937.36839807087,86969.79471338644,2023-02-01,99.77-3,2018-09-18
30,158427.65022380417,86969.79471338644,2023-03-01,99.77-3,2018-09-18
30,198923.00189264806,86969.79471338644,2023-04-01,99.77-3,2018-09-18
30,230056.4503568838,86969.79471338644,2023-05-01,99.77-3,2018-09-18
30,234326.14316402053,86969.79471338644,2023-06-01,99.77-3,2018-09-18
